Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
0701035M,2003-07-01 00:00:00,2003-01-01 00:00:00,MCO,Orlando International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,675.0,Settled,189.51,Settle,181.0,485.49
2008020739269,2008-01-29 00:00:00,2008-01-01 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Denied,0.0,Deny,28.0,150.0
2004092763880,2004-08-10 00:00:00,2004-06-01 00:00:00,AUS,Austin-Bergstrom International Airport,Southwest Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,340.0,Settled,200.0,Settle,70.0,140.0
2006122818081,2006-12-26 00:00:00,2006-11-16 00:00:00,SAN,San Diego International,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Other,171.03,Approved,171.03,Approve in Full,40.0,0.0
2004061856233,2004-05-27 00:00:00,2004-04-28 00:00:00,PBI,Palm Beach International,Jet Blue,Passenger Property Loss,Checked Baggage,Other,400.0,Approved,400.0,Approve in Full,29.0,0.0
2005122798399,2005-12-15 00:00:00,2005-12-11 00:00:00,LNY,Lanai City; HI,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,200.0,Denied,0.0,Deny,4.0,200.0
2006010699016,2006-01-03 00:00:00,2005-12-17 00:00:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),45.0,Denied,0.0,Deny,17.0,45.0
2005012274000,2004-12-07 00:00:00,2004-11-07 00:00:00,MCO,Orlando International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,355.54,Denied,0.0,Deny,30.0,355.54
2006080310501,2006-07-31 00:00:00,2006-10-10 00:00:00,JAN,Jackson International,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,64.19,Denied,0.0,Deny,-71.0,64.19
2007010518359,2007-01-04 00:00:00,2006-12-07 00:00:00,ONT,Ontario International,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,106.48,Approved,106.48,Approve in Full,28.0,0.0
2009051858883,2009-05-01 00:00:00,2009-04-25 00:00:00,LGA,LaGuardia,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),200.0,Denied,0.0,Deny,6.0,200.0
2008112552784,2008-11-24 00:00:00,2008-11-15 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,717.82,Denied,0.0,Deny,9.0,717.82
2008020839334,2008-01-31 00:00:00,2007-12-08 00:00:00,TPA,Tampa International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),125.0,Settled,50.0,Settle,54.0,75.0
2004090762248,2004-08-05 00:00:00,2004-06-28 00:00:00,OAK,Metropolitan Oakland International,American West,Passenger Property Loss,Checkpoint,Other,200.0,Denied,0.0,Deny,38.0,200.0
2004061756086,2004-05-19 00:00:00,2004-03-16 00:00:00,PHX,Phoenix Sky Harbor International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,72.95,Approved,72.95,Approve in Full,64.0,0.0
2005063087899,2005-06-28 00:00:00,2005-05-19 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),289.0,Approved,289.0,Approve in Full,40.0,0.0
2005102795243,2005-10-18 00:00:00,2005-09-03 00:00:00,LAS,McCarran International,Continental Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,490.0,Denied,0.0,Deny,45.0,490.0
0825052M,2003-08-25 00:00:00,2003-08-27 00:00:00,MCO,Orlando International Airport,American Airlines,Property Damage,Checked Baggage,Other,34.95,Approved,34.95,Approve in Full,-2.0,0.0
2004090261939,2004-07-16 00:00:00,2004-07-01 00:00:00,TUS,Tucson International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,332.0,Settled,141.0,Settle,15.0,191.0
2005030877272,2005-03-08 00:00:00,2005-01-24 00:00:00,EWR,Newark International Airport,Northwest Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,493.0,Denied,0.0,Deny,43.0,493.0
2006081110928,2006-08-11 00:00:00,2006-07-19 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Handbags & Purses (leather or fabric),100.0,Settled,50.0,Settle,23.0,50.0
2007013119980,2007-01-23 00:00:00,2007-01-15 00:00:00,LGA,LaGuardia,Delta Air Lines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,64.0,Approved,64.0,Approve in Full,8.0,0.0
2009090963464,2009-09-02 00:00:00,2009-07-13 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checkpoint,Computer - Laptop,201.96,Approved,201.96,Approve in Full,51.0,0.0
2005110995856,2005-10-31 00:00:00,2005-10-20 00:00:00,DEN,Denver International Airport,Frontier Airlines,Property Damage,Checkpoint,Other,81.59,Approved,81.59,Approve in Full,11.0,0.0
2004062256914,2004-06-02 00:00:00,2004-05-15 00:00:00,MCO,Orlando International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Other,950.0,Settled,687.0,Settle,18.0,263.0
2005090292074,2005-08-29 00:00:00,2005-08-14 00:00:00,DAL,Dallas Love Field,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,1000.0,Settled,459.0,Settle,15.0,541.0
2008082048849,2008-08-18 00:00:00,2008-07-25 00:00:00,ORD,Chicago O'Hare International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),432.99,Denied,0.0,Deny,24.0,432.99
2008062546150,2008-06-18 00:00:00,2008-06-13 00:00:00,OAK,Metropolitan Oakland International,American Airlines,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,216.5,Settled,108.25,Settle,5.0,108.25
2007122737018,2007-12-26 00:00:00,2007-12-06 00:00:00,MSP,Minneapolis/ St.Paul International Airport,UAL,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,359.42,Denied,0.0,Deny,20.0,359.42
2005010572806,2004-12-17 00:00:00,2004-11-28 00:00:00,IAD,Washington Dulles International,Independence Air,Passenger Property Loss,Checked Baggage,Cameras - Digital,176.33,Settled,110.34,Settle,19.0,65.99000000000001
2004051952885,2004-04-15 00:00:00,2004-02-29 00:00:00,MIA,Miami International Airport,UAL,Property Damage,Checked Baggage,Locks,300.0,Denied,0.0,Deny,46.0,300.0
0514050L,2003-05-14 00:00:00,2003-04-30 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),20.0,Settled,10.0,Settle,14.0,10.0
2005061786536,2005-06-07 00:00:00,2005-04-20 00:00:00,MLI,Quad City (Moline)International Airport,Northwest Airlines,Property Damage,Checkpoint,Other,59.99,Approved,59.99,Approve in Full,48.0,0.0
2004070658406,2004-06-16 00:00:00,2004-05-15 00:00:00,HNL,Honolulu International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),18.76,Approved,18.76,Approve in Full,32.0,0.0
2008080748181,2008-07-30 00:00:00,2008-05-31 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cell Phones,827.9,Denied,0.0,Deny,60.0,827.9
2007020720434,2007-02-06 00:00:00,2006-12-31 00:00:00,ISP,Long Island McArthur; Islip,Southwest Airlines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,24.99,Denied,0.0,Deny,37.0,24.99
2006011899772,2006-01-11 00:00:00,2005-12-08 00:00:00,DCA,Ronald Reagan Washington National Airport,UAL,Passenger Property Loss,Checked Baggage,Cameras - Digital,460.0,Settled,218.5,Settle,34.0,241.5
2005092693244,2005-09-14 00:00:00,2005-08-23 00:00:00,TPA,Tampa International,Southwest Airlines,Property Damage,Checked Baggage,Locks,4.54,Approved,4.54,Approve in Full,22.0,0.0
2009061760287,2009-06-16 00:00:00,2009-06-08 00:00:00,EWR,Newark International Airport,American Airlines,Passenger Property Loss,Checkpoint,Other,78.3,Approved,78.3,Approve in Full,8.0,0.0
2008041642633,2008-04-08 00:00:00,2008-02-24 00:00:00,IAD,Washington Dulles International,Delta Air Lines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),355.46,Denied,0.0,Deny,44.0,355.46
2006021001321,2006-02-07 00:00:00,2006-01-12 00:00:00,EWR,Newark International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,67.2,Denied,0.0,Deny,26.0,67.2
2005052085233,2005-05-18 00:00:00,2005-05-05 00:00:00,AGS,Bush Field,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,15.0,Approved,15.0,Approve in Full,13.0,0.0
2007031222092,2007-03-06 00:00:00,2007-02-23 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,119.99,Settled,60.0,Settle,11.0,59.989999999999995
2004122370706,2004-11-04 00:00:00,2004-08-16 00:00:00,RDM,Roberts Field,Horizon Air,Passenger Property Loss,Checked Baggage,Jewelry - Fine,330.0,Settled,165.0,Settle,80.0,165.0
2005102094951,2005-10-13 00:00:00,2005-09-29 00:00:00,SEA,Seattle-Tacoma International,British Airways,Property Damage,Checked Baggage,Luggage (all types including footlockers),221.0,Denied,0.0,Deny,14.0,221.0
2008063046374,2008-06-25 00:00:00,2008-06-18 00:00:00,PHX,Phoenix Sky Harbor International,Air Tran Airlines(do not use),Property Damage,Checkpoint,Cameras - Digital; Eyeglasses - (including contact lenses),400.0,Settled,309.84,Settle,7.0,90.16000000000003
2008072447268,2008-07-14 00:00:00,2008-06-21 00:00:00,MDW,Midway International Airport,Northwest Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),47.64,Denied,0.0,Deny,23.0,47.64
0114452M,2004-01-14 00:00:00,2003-12-21 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checkpoint,Stereo Items & Accessories,600.0,Denied,0.0,Deny,24.0,600.0
1119154M,2003-11-19 00:00:00,2003-10-28 00:00:00,PHL,Philadelphia International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Approved,50.0,Approve in Full,22.0,0.0
2007100933133,2007-10-04 00:00:00,2007-08-22 00:00:00,PHX,Phoenix Sky Harbor International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,59.89,Denied,0.0,Deny,43.0,59.89
0819131M,2003-08-19 00:00:00,2003-07-06 00:00:00,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checked Baggage,Jewelry - Fine,150.0,Settled,75.0,Settle,44.0,75.0
0522011L,2003-05-22 00:00:00,2003-04-07 00:00:00,JAX,Jacksonville International,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,323.0,Approved,323.0,Approve in Full,45.0,0.0
0707054M,2003-07-07 00:00:00,2003-06-17 00:00:00,GEG,Spokane International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,85.0,Settled,63.75,Settle,20.0,21.25
2004122069510,2004-11-03 00:00:00,2004-10-12 00:00:00,SJC,Norman Y Mineta San Jose International,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,350.0,Approved,350.0,Approve in Full,22.0,0.0
2005030877251,2005-03-08 00:00:00,2005-01-14 00:00:00,TPA,Tampa International,UAL,Property Damage,Checked Baggage,Other,30.0,Approved,30.0,Approve in Full,53.0,0.0
1217405M,2003-12-17 00:00:00,2003-09-27 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,565.4,Settled,428.91,Settle,81.0,136.48999999999995
2006012099971,2006-01-12 00:00:00,2005-12-02 00:00:00,DCA,Ronald Reagan Washington National Airport,USAir,Passenger Property Loss,Checked Baggage,Other,10.99,Approved,10.99,Approve in Full,41.0,0.0
2007022121295,2007-02-20 00:00:00,2007-02-04 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,528.95,Denied,0.0,Deny,16.0,528.95
2008061145536,2008-06-06 00:00:00,2008-05-16 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Property Damage,Checkpoint,Other,117.92,Approved,117.92,Approve in Full,21.0,0.0
2008010437337,2007-12-26 00:00:00,2007-11-19 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Clothing - Shoes; belts; accessories; etc.,450.73,Settled,315.51,Settle,37.0,135.22000000000003
2007121836638,2007-12-13 00:00:00,2007-12-09 00:00:00,SJU,Luis Munoz Marin International,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,48.0,Denied,0.0,Deny,4.0,48.0
2007013119875,2007-01-31 00:00:00,2007-01-26 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,800.0,Denied,0.0,Deny,5.0,800.0
0114310M,2004-01-14 00:00:00,2003-12-01 00:00:00,MSY,New Orleans International,UAL,Passenger Property Loss,Checkpoint,Cameras - Digital,1120.93,Settled,622.99,Settle,44.0,497.94000000000005
2008040842126,2008-03-31 00:00:00,2008-03-25 00:00:00,SRQ,Sarasota Bradenton International,Continental Airlines,Property Damage,Checked Baggage,Locks,21.65,Denied,0.0,Deny,6.0,21.65
2007082830999,2007-08-27 00:00:00,2007-08-17 00:00:00,F,Foreign airport,Northwest Airlines,Property Damage,Checked Baggage,Other,450.0,Denied,0.0,Deny,10.0,450.0
2006011799658,2006-01-10 00:00:00,2005-12-28 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),75.0,Denied,0.0,Deny,13.0,75.0
2006032403639,2006-03-21 00:00:00,2006-03-09 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checkpoint,Other,300.0,Denied,0.0,Deny,12.0,300.0
2007020220085,2007-01-30 00:00:00,2007-01-06 00:00:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Medicines,189.96,Denied,0.0,Deny,24.0,189.96
2008121953599,2008-12-15 00:00:00,2008-11-27 00:00:00,DEN,Denver International Airport,Northwest Airlines,Property Damage,Checked Baggage,Jewelry - Costume,45.0,Denied,0.0,Deny,18.0,45.0
0806035M,2003-08-06 00:00:00,2003-07-06 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Photographic Film,10.0,Approved,10.0,Approve in Full,31.0,0.0
2008071446892,2008-07-07 00:00:00,2008-07-01 00:00:00,DEN,Denver International Airport,USAir,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers),56.05,Denied,0.0,Deny,6.0,56.05
2005051684688,2005-05-13 00:00:00,2005-04-12 00:00:00,MSY,New Orleans International,UAL,Passenger Property Loss,Checked Baggage,Other,25.0,Approved,25.0,Approve in Full,31.0,0.0
2004061055387,2004-05-27 00:00:00,2004-02-19 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,6.0,Approved,6.0,Approve in Full,98.0,0.0
1009174M,2003-10-09 00:00:00,2003-06-26 00:00:00,JFK,John F. Kennedy International,American Airlines,Property Damage,Checked Baggage,Cameras - Digital,736.95,Settled,255.0,Settle,105.0,481.95000000000005
2008082248983,2008-08-20 00:00:00,2008-07-30 00:00:00,CID,Eastern Iowa,American Airlines,Passenger Property Loss,Checked Baggage,Boxes - Jewelry; Cigarette; Music; etc.; Cameras - Digital; Clothing - Shoes; belts; accessories; etc.; Furniture (particle board - work benches; plastic; wicker; rattan; & patio); Jewelry - Costume; Other,815.82,Denied,0.0,Deny,21.0,815.82
2005080890213,2005-07-29 00:00:00,2005-06-29 00:00:00,MCO,Orlando International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),259.99,Settled,130.0,Settle,30.0,129.99
2007101733578,2007-10-12 00:00:00,2007-09-26 00:00:00,BUR,Bob Hope,America West,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Other,532.47,Denied,0.0,Deny,16.0,532.47
2006081110828,2006-08-08 00:00:00,2006-07-09 00:00:00,SAN,San Diego International,Jet Blue,Property Damage,Checked Baggage,Other,46.0,Denied,0.0,Deny,30.0,46.0
2007102233774,2007-10-17 00:00:00,2007-10-04 00:00:00,MDW,Midway International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,15.0,Denied,0.0,Deny,13.0,15.0
2009061560200,2009-06-09 00:00:00,2009-05-13 00:00:00,MSY,New Orleans International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),59.99,Denied,0.0,Deny,27.0,59.99
2009090263287,2009-09-02 00:00:00,2009-08-22 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Alcoholic beverages; Other; Stereo Items & Accessories,137.08,Denied,0.0,Deny,11.0,137.08
2005081890804,2005-08-09 00:00:00,2005-07-16 00:00:00,BDL,Bradley International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,331.0,Approved,331.0,Approve in Full,24.0,0.0
2007022321400,2007-01-16 00:00:00,2006-11-02 00:00:00,CMH,Port Columbus International,American Airlines,Passenger Property Loss,Checked Baggage,Locks,43.35,Approved,43.35,Approve in Full,75.0,0.0
2005021776408,2005-01-26 00:00:00,2004-12-12 00:00:00,MDW,Midway International Airport,Northwest Airlines,Property Damage,Checked Baggage,Locks,20.0,Approved,20.0,Approve in Full,45.0,0.0
2004110666532,2004-09-30 00:00:00,2004-08-23 00:00:00,BUF,Buffalo Niagara International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),124.0,Denied,0.0,Deny,38.0,124.0
2009121766646,2009-12-14 00:00:00,2009-11-24 12:45:00,PHL,Philadelphia International Airport,USAir,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,250.0,Denied,0.0,Deny,19.0,250.0
2005041582699,2005-04-15 00:00:00,2005-03-26 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,USAir,Property Damage,Checked Baggage,Other,24.98,Denied,0.0,Deny,20.0,24.98
2005062487096,2005-06-14 00:00:00,2005-05-22 00:00:00,SEA,Seattle-Tacoma International,American Airlines,Property Damage,Checked Baggage,DVD/CD Players,280.0,Denied,0.0,Deny,23.0,280.0
2008041642673,2008-04-07 00:00:00,2008-02-04 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks,4.26,Denied,0.0,Deny,63.0,4.26
2009072761815,2009-07-22 00:00:00,2009-07-12 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,385.0,Settled,257.46,Settle,10.0,127.54000000000002
2004081060951,2004-07-15 00:00:00,2004-06-21 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,42.29,Settled,21.15,Settle,24.0,21.14
